"","from","to","source","path","from.Role","to.Role"
"24016","MUSK","ERBB2","NicheNet","MUSK*ERBB2","Receptor","TF"
"24017","NTF3","RUNX1","NicheNet","NTF3*RUNX1","Receptor","TF"
"24018","NTRK1","RUNX1","NicheNet","NTRK1*RUNX1","Receptor","TF"
"24019","NTRK2","RUNX3","NicheNet","NTRK2*RUNX3","Receptor","TF"
"24020","NTRK3","RUNX1","NicheNet","NTRK3*RUNX1","Receptor","TF"
"24021","DDR2","HAND1","NicheNet","DDR2*HAND1","Receptor","TF"
"24022","PDCD1","AKT1","NicheNet","PDCD1*AKT1","Receptor","TF"
"24023","PDCD1","NFATC1","NicheNet","PDCD1*NFATC1","Receptor","TF"
"24024","PDGFRA","RUNX1","NicheNet","PDGFRA*RUNX1","Receptor","TF"
"24025","PDGFRB","HAND1","NicheNet","PDGFRB*HAND1","Receptor","TF"
"24026","PECAM1","GFAP","NicheNet","PECAM1*GFAP","Receptor","TF"
"24027","PGR","E2F1","NicheNet","PGR*E2F1","Receptor","TF"
"24028","LILRB3","NTRK2","NicheNet","LILRB3*NTRK2","Receptor","TF"
"24029","PKD1","AKT2","NicheNet","PKD1*AKT2","Receptor","TF"
"24030","PLAUR","LTBR","NicheNet","PLAUR*LTBR","Receptor","TF"
"24031","PLAUR","CAV1","NicheNet","PLAUR*CAV1","Receptor","TF"
"24032","PLXNA2","MET","NicheNet","PLXNA2*MET","Receptor","TF"
"24033","PLXNA2","JUN","NicheNet","PLXNA2*JUN","Receptor","TF"
"24034","PLXNA2","MYB","NicheNet","PLXNA2*MYB","Receptor","TF"
"24035","PLXNA2","NKX6-1","NicheNet","PLXNA2*NKX6-1","Receptor","TF"
"24036","PLXNA2","AKT1","NicheNet","PLXNA2*AKT1","Receptor","TF"
"24037","POMC","MITF","NicheNet","POMC*MITF","Receptor","TF"
"24038","PRLR","EGFR","NicheNet","PRLR*EGFR","Receptor","TF"
"24039","PROS1","POU5F1","NicheNet","PROS1*POU5F1","Receptor","TF"
"24040","PTCH1","LEF1","NicheNet","PTCH1*LEF1","Receptor","TF"
"24041","PTGER2","PPARG","NicheNet","PTGER2*PPARG","Receptor","TF"
"24042","PTGER4","MYC","NicheNet","PTGER4*MYC","Receptor","TF"
"24043","PTGER4","NFKB1","NicheNet","PTGER4*NFKB1","Receptor","TF"
"24044","PTHLH","CTNNB1","NicheNet","PTHLH*CTNNB1","Receptor","TF"
"24045","PTH1R","RUNX1","NicheNet","PTH1R*RUNX1","Receptor","TF"
"24046","RARG","CTNNB1","NicheNet","RARG*CTNNB1","Receptor","TF"
"24047","TRIM27","AKT1","NicheNet","TRIM27*AKT1","Receptor","TF"
"24048","RYK","GFAP","NicheNet","RYK*GFAP","Receptor","TF"
"24049","MSR1","PPARG","NicheNet","MSR1*PPARG","Receptor","TF"
"24050","CCL17","HAND1","NicheNet","CCL17*HAND1","Receptor","TF"
"24051","CCL13","NFKB1","NicheNet","CCL13*NFKB1","Receptor","TF"
"24052","CCL13","PRDM1","NicheNet","CCL13*PRDM1","Receptor","TF"
"24053","CCL13","JUN","NicheNet","CCL13*JUN","Receptor","TF"
